"Indicator type","Indicator","Description"
"URL","http://myfitness.com.sg/ver02/.s/",""
"URL","http://www.cch.or.kr/board/data/member/index.html",""
"URL","http://inmartek.gr/awwe/index.html",""
"URL","http://blackrv.com/img/bim.htm",""
"URL","http://www.intertechoman.com/wp-scheme.htm",""
"URL","http://avestaautoprofile.com/bbs/messages/",""
"URL","https://submit.myjotform.com/submit/60045986447565/",""
"URL","http://triada.kh.ua/made/?email=abuse@example.com",""
"URL","http://exmouthchapel.com/templates/exmouth2/login.php",""
"URL","http://exmouthchapel.com/templates/exmouth2/taxpdf/index.html",""
"URL","http://www.cainc.cc/Hope",""
"URL","http://fpsolutionsaust.com.au/wp-content/w2/dropbox/",""
"URL","http://powerhouseproject.ca/irs_gov-uac/",""
"URL","http://shared-document.com/userlogin.php?k=83b57c1291c561836f53fce72dc135eabbff368b",""
"URL","http://gaelleleberre.com/wp-includes/js/post.html",""
"URL","http://www.kaoduen.com.tw/upload/2011/post.html",""
"URL","http://www.kaoduen.com.tw/cache/font/error.html",""
"URL","http://212.89.13.52/encuesta/secure/",""
"URL","https://cpsshareddocument.sharefile.com/Authentication/Login",""
"URL","http://groups.google.com/a/ci.stevenson.wa.us/group/utilities/pendmsg?view=full&pending_id=3234327762619835073",""
"URL","http://shared-document.com/userlogin.php?k=83b57c1291c561836f53fce72dc135eabbff368b&viewed=1",""
"URL","http://hendrich123hartwig.rocks/ciobania/",""
"URL","https://broeschcpapaulbroesch.sharefile.com/d/ca11f4c8cb7e490c",""
"URL","https://shccpas.sharefile.com/d/b61efaf00c854cf9",""
"URL","https://fmdcpas.sharefile.com/d/e482e4f32e3b460a",""
"URL","http://my-partytime.com/links/rkjW4QD4b/SyGZr3U4-/rJ7-Bcd2LVb/SkLXNmPV-",""
"URL","http://robertsdvd.com/eServices/preparer%20info/irs/Login.htm",""
"URL","http://loja.emporiomanjericao.com.br/Redirect.php",""
"URL","http://cooltest.com.cn/cert/",""
"URL","https://adpportalupdate.typeform.com/to/i1lis8",""
"URL","https://adppotral8.typeform.com/to/ksoUdj",""
"URL","https://adpportal1.typeform.com/to/wPOZTW",""
"URL","https://adp6.typeform.com/to/Igfqgb",""
"URL","http://www.response-o-matic.com/mail.php",""
